SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
55,16,NFAApprovalSequenceType,Prepared,Prepared,1,2,1,0,nagad,3,44:21.5,NULL,NULL,NULL,NULL,1
56,17,NFAType,Create Strategic NFA,SCM/IT,1,1,1,0,nagad,3,18:35.2,NULL,NULL,NULL,NULL,1
57,17,NFAType,Create NFA,Commerical,1,1,1,0,nagad,3,18:35.2,NULL,NULL,NULL,NULL,1
58,18,EmployeeCategory,Regular,Regular,1,1,1,0,nagad,3,38:40.5,NULL,NULL,NULL,NULL,1
59,18,EmployeeCategory,Contractual,Contractual,1,2,1,0,nagad,3,38:40.5,NULL,NULL,NULL,NULL,1
60,18,EmployeeCategory,Director,Director,1,3,1,0,nagad,3,38:40.5,NULL,NULL,NULL,NULL,1
61,18,EmployeeCategory,Staff,Staff,1,4,1,0,nagad,3,38:40.5,NULL,NULL,NULL,NULL,1
62,16,NFAApprovalSequenceType,Proposed,Proposed,1,1,1,0,nagad,3,58:24.8,NULL,NULL,NULL,NULL,1
63,16,NFAApprovalSequenceType,Reviewed,Reviewed,1,2,1,0,nagad,3,58:24.8,NULL,NULL,NULL,NULL,1
64,16,NFAApprovalSequenceType,BudgetNote,BudgetNote,1,2,1,0,nagad,3,04:42.4,NULL,NULL,NULL,NULL,1
65,10,LeaveCategory,Maternity Leave,Maternity Leave,1,4,1,0,nagad,3,01:07.0,NULL,503,55:19.1,172.16.202.118,2
66,10,LeaveCategory,Special Leave,Special Leave,1,5,1,0,nagad,3,01:07.0,NULL,NULL,NULL,NULL,1
67,10,LeaveCategory,Transit Leave,Transit Leave,1,6,1,0,nagad,3,01:07.0,NULL,NULL,NULL,NULL,1
68,10,LeaveCategory,Pilgrim Leave,Pilgrim Leave,1,7,1,0,nagad,3,01:07.0,NULL,NULL,NULL,NULL,1
69,10,LeaveCategory,Compensatory Leave,Compensatory Leave,1,8,1,0,nagad,3,01:07.0,NULL,NULL,NULL,NULL,1
70,6,EmployeeJobStatus,Contractual,Contractual,0,4,1,0,nagad,3,23:41.5,NULL,NULL,NULL,NULL,1
71,19,TravelType,Local,Local,1,1,1,0,nagad,3,25:22.4,NULL,NULL,NULL,NULL,1
72,19,TravelType,Overseas,Overseas,1,2,1,0,nagad,3,25:22.4,NULL,NULL,NULL,NULL,1
73,20,AttendanceStatus,Present,Present,1,1,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
74,20,AttendanceStatus,Late,Late,1,2,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
75,20,AttendanceStatus,Absent,Absent,1,3,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
76,20,AttendanceStatus,Leave,Leave,1,4,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
77,20,AttendanceStatus,Holiday,Holiday,1,5,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
78,20,AttendanceStatus,OffDay,OffDay,1,6,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
79,20,AttendanceStatus,Weekend,Weekend,1,7,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
80,20,AttendanceStatus,HolidayPresent,Holiday Present,1,8,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
81,20,AttendanceStatus,WeekendPresent,Weekend Present,1,9,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
82,20,AttendanceStatus,OffDayPresent,Off Day Present,1,10,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
83,20,AttendanceStatus,LeavePresent,Leave Present,1,11,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
84,20,AttendanceStatus,HolidayLate,Holiday Late,1,12,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
85,20,AttendanceStatus,WeekendLate,Weekend Late,1,13,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
86,20,AttendanceStatus,OffDayLate,Off Day Late,1,14,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
87,20,AttendanceStatus,LeaveLate,Leave Late,1,15,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
88,20,AttendanceStatus,PartialEntry,Partial Entry,1,16,1,0,nagad,3,41:11.7,NULL,NULL,NULL,NULL,1
89,16,NFAApprovalSequenceType,Recommended,Recommended,1,4,1,0,nagad,3,59:59.2,NULL,NULL,NULL,NULL,1
90,21,ExpensePurpose,Food & Entertainment,Food & Entertainment,1,1,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
91,21,ExpensePurpose,Conveyance,Conveyance,1,2,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
92,21,ExpensePurpose,Stationeries,Stationeries,1,3,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
93,21,ExpensePurpose,Petty Cash Reimbursement,Petty Cash Reimbursement,1,4,1,0,nagad,3,10:33.6,NULL,NULL,NULL,NULL,1
