MenuID,ParentID,ApplicationID,ID,Title,Translate,Type,Icon,Url,Badge,Target,Exact,Auth,Parameters,IsVisible,SequenceNo
60,55,1,forwardemployeepanelmap,Fwd. Emp. Panel Map,Fwd. Emp. Panel Map,item,NULL,/apps/approval/forwardemployeepanelMap,NULL,NULL,1,NULL,NULL,1,1.60
61,67,1,approval-managment,Approval Managment,Approval Managment,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.61
62,61,1,pending-approval-list,Pending Approval List,Pending Approval List,item,NULL,/apps/approval/approvalRequests,NULL,NULL,1,NULL,NULL,1,1.62
63,3,1,notification-list,Notifications,Notifications,item,notifications,/apps/Notification,NULL,NULL,1,NULL,NULL,1,0.10
64,3,1,mail-setup,Mail Setup,Mail Setup,collapse,admin_panel_settings,NULL,NULL,NULL,1,NULL,NULL,1,1.64
65,64,1,mailconfigure,Mail Configure,Mail Configure,item,NULL,/apps/mailconfigure/mailconfiguration,NULL,NULL,1,NULL,NULL,1,1.65
66,64,1,mailgroupsetup,Mail Group Setup,Mail Group Setup,item,NULL,/apps/mailconfigure/mailgroupsetup,NULL,NULL,1,NULL,NULL,1,1.66
67,3,1,approval,Approval,Approval,collapse,done,NULL,NULL,NULL,1,NULL,NULL,1,1.99
68,23,1,payroll-master,Payroll Master,Payroll Master,collapse,admin_panel_settings,NULL,NULL,NULL,1,NULL,NULL,1,1.68
69,68,1,walletconfigure,Wallet Configure,Wallet Configure,item,NULL,/apps/hrms/payroll/walletconfigure,NULL,NULL,1,NULL,NULL,1,1.69
70,68,1,wagecodeconfigure,Wage Code Configure,Wage Code Configure,item,NULL,/apps/hrms/payroll/wagecodeconfigure,NULL,NULL,1,NULL,NULL,1,1.70
71,68,1,salarycalculationrule,Salary Calc. Rule,Salary Calc. Rule,item,NULL,/apps/hrms/payroll/salarycalculationrule,NULL,NULL,1,NULL,NULL,1,1.71
72,68,1,taxcalculationrule,Tax Calc. Rule,Tax Calc. Rule,item,NULL,/apps/hrms/payroll/taxcalculationrule,NULL,NULL,1,NULL,NULL,1,1.72
73,23,1,onboarding,On-Boarding,On-Boarding,collapse,admin_panel_settings,NULL,NULL,NULL,1,NULL,NULL,1,1.73
